mim	is_phenotype	date_fetched	pmid_refs
106240	False	2025-03-21	2330952
106260	True	2025-03-19	15200513|10886756|10535733|19697430|14684701|19697429|19353643|3605196|946410|19681108|11159940|19239083|8411079|3839246|19676059|1536181
106280	False	2025-03-21	20042737|28384993|13013390|18983637|17588677|29704302
106300	True	2025-03-19	21743469|20062062|17448825|4123836|782462|12905477|10861282|9336417|4694299|2912465|126380|6606431|13869952|6082899|657578|2927470|1185744|7562959|19416804|1999831|14454080|7702399|14411096|1130424|15388324|3190783|15234954|6604602|6332689|15051216|9519942|13650428|14783304|8053961|1128613|10857795|11762681|4688372|7791441|8415702|68310|2300126|7276519|3485286|17952073|107868
106400	False	2025-03-21	5346342|2322769|14800245|1129458|3899489
106410	True	2025-03-20	37088467|20543825|17242276|12571597|15178757|1830053|11334825|7485162|1833308|10579720
106500	False	2025-03-21	5908098
106600	True	2025-03-19	15264286|18137065|16498076|12097313|22581971|10742093|8696335|27321946
106700	False	2025-03-21	17036341|20071345|7847375|7747759|13878593|14426379|5097138|1887837|3564987|5713080|34791216
106750	True	2025-03-20	1156563
106990	True	2025-03-20	17163524|3780038
107000	True	2025-03-20	30435097|5771215
107254	False	2025-03-21	3979119
107257	True	2025-03-20	
107270	False	2025-03-21	9694721|9378973|10369916|11001947|2319135|17287729|8202488|6198179|7835083|8420005|8253715
107271	False	2025-03-21	10805801|7691713|12408806|2475570|2476389|10568747|2307842|7683594|24382084|11435315|10965140|2892786|1733867|17975060|2882510|8650192|1698710|1694224|1382994|23149847|2487685|1381503|7522635|16567644|1383553|1282740|6382636
107320	False	2025-03-21	9932966|8757529|7378333|10442901|14660741|10025927|9622219|10446865|9622223|9336432|3689698|2499608|2349221|11292408|20822807|18171610
107323	True	2025-03-20	16159904|17088338|8088832|16491085|29061647|17068770|17721876|9417906
